,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
CJ McCollum,Por,G,28.9,70,36.5,76.1,25.9,8.1,185,0.757,844,0.494,512,0.379,0.522,0.541,22.2,4.3,6.1,4.4,19.1,0.77,0.6,1.81,8.2,110.8,113.1
T.J. McConnell,Ind,G,28.39,71,18.7,38.9,17.5,18.9,42,0.833,395,0.524,17,0.294,0.521,0.539,6.5,2.7,7.9,5,37.6,0.8,0.15,1.41,9.5,112.2,106.4
Jalen McDaniels,Cha,F-C,22.54,16,18.3,38.2,13.4,13.4,17,0.824,46,0.522,24,0.375,0.536,0.574,5.6,4.1,12.1,0.8,6.7,0.5,0.19,0.75,5.8,110.9,101.7
Doug McDermott,Ind,F,28.61,69,19.9,41.4,19.6,6.8,58,0.828,253,0.549,294,0.435,0.605,0.62,10.3,2.5,6.9,1.1,8.4,0.17,0.09,0.61,6.1,117.3,105.3
JaVale McGee,Lal,C-F,32.57,68,16.6,34.6,14.8,13.9,82,0.646,300,0.64,6,0.5,0.642,0.652,6.6,5.8,18.9,0.5,4.6,0.53,1.37,0.81,6.4,123,93.2
Rodney McGruder,Lac,G,29.05,56,15.6,32.4,10.6,10.9,34,0.559,92,0.522,89,0.27,0.464,0.477,3.3,2.7,9,0.7,5.5,0.46,0.14,0.43,4.7,99.8,102.3
Alfonzo McKinnie,Cle,F,27.91,40,14.8,30.9,15.2,12.3,31,0.71,106,0.557,65,0.215,0.468,0.493,4.6,2.8,10.6,0.4,3.3,0.58,0.2,0.65,4.7,98.5,104.8
Jordan McLaughlin,Min,G,24.35,30,19.7,41,15.8,13.7,39,0.667,102,0.569,76,0.382,0.57,0.587,7.6,1.6,4.4,4.2,31,1.13,0.13,1.03,7.5,121.5,111.3
Ben McLemore,Hou,G,27.51,71,22.8,47.5,16,8,67,0.746,93,0.656,452,0.4,0.61,0.622,10.1,2.2,5,0.8,5.2,0.65,0.23,0.7,4.6,117.3,106
Jordan McRae,Was,G,29.38,29,22.5,47,24.9,9.7,83,0.771,211,0.441,106,0.377,0.483,0.523,12.8,3.6,8.7,2.8,19.1,0.66,0.52,1.31,9,106,109.8
Jordan McRae,Den,G,29.38,4,8.1,16.8,10.5,0,4,0.75,2,0,4,0.5,0.5,0.58,2.3,1.3,8.7,1,15.5,0.5,0.25,0,7.1,143.3,106.8
Jordan McRae,Det,G,29.38,4,24.6,51.3,25.6,8.7,22,0.727,27,0.407,16,0.188,0.36,0.446,11.8,3.8,8.6,1.8,10.6,0,0,1.25,7,92.3,106.7
Nicolo Melli,Nor,0,29.55,60,17.4,36.2,15.7,11.5,73,0.74,117,0.573,206,0.335,0.528,0.556,6.6,3,9.2,1.4,10.5,0.57,0.38,0.77,7,110.6,103.5
De'Anthony Melton,Mem,G,22.22,60,19.5,40.5,19.2,15.6,121,0.769,261,0.464,140,0.286,0.451,0.501,7.6,3.7,9.9,2.9,20.1,1.27,0.33,1.4,8.9,102,102.5
Chimezie Metu,San,F-C,23.4,18,5.9,12.2,23.7,17.3,13,0.769,40,0.6,2,0,0.571,0.608,3.2,1.8,16.9,0.6,14.8,0.17,0.33,0.56,10.3,113,108.4
Khris Middleton,Mil,F,29.01,62,29.9,62.3,26.3,11.5,227,0.916,593,0.546,354,0.415,0.575,0.619,20.9,6.2,10.2,4.3,22.2,0.85,0.11,2.19,11,118.1,97.8
Eric Mika,Sac,C,25.61,1,19.1,39.8,8.8,0,2,1,3,0.667,0,0,0.667,0.773,6,7,20.6,0,0,0,0,0,0,171.2,85.6
CJ Miles,Was,G,33.41,10,16.1,33.5,18.6,5.6,20,0.75,24,0.333,35,0.314,0.415,0.472,6.4,1.2,4.1,1.2,10,1,0.4,0.4,5.2,102.9,110.8
Malcolm Miller,Tor,G-F,27.44,28,5.8,12,9.6,11,8,0.375,7,0.571,22,0.364,0.552,0.538,1.3,0.6,5.2,0.4,8.9,0.18,0.07,0.14,4.7,108.3,99.3
Paul Millsap,Den,F,35.51,51,24.3,50.7,20,12.3,141,0.816,314,0.5,124,0.435,0.543,0.591,11.6,5.7,13.2,1.6,9.6,0.86,0.59,1.37,7.8,115.8,100.9
Patty Mills,San,G,32.01,66,22.5,46.9,20.4,7.7,112,0.866,195,0.533,403,0.382,0.56,0.592,11.6,1.6,3.9,1.8,11.4,0.8,0.09,0.82,5.7,115.3,111.1
Shake Milton,Phi,G-F,23.88,40,20.1,41.9,18.8,13.3,65,0.785,142,0.535,135,0.43,0.588,0.617,9.4,2.2,6,2.6,18.8,0.48,0.18,1.18,7.5,117.6,102.5
Donovan Mitchell,Uta,G,23.94,69,34.3,71.4,30.8,11,322,0.863,869,0.494,473,0.366,0.513,0.558,24,4.4,7.1,4.3,21.6,1.01,0.2,2.67,9,109.5,105.7
Naz Mitrou-Long,Ind,G,27.03,5,9.4,19.5,18.7,15,0,0,5,0.8,12,0.167,0.412,0.412,2.8,1.4,8.2,1.6,22.9,0.2,0.2,0.6,7.8,87.1,108
Adam Mokoka,Chi,G,22.08,11,10.2,21.2,12.1,6.3,4,0.5,13,0.462,15,0.4,0.536,0.538,2.9,0.9,4.9,0.4,5,0.36,0,0.18,4,114.6,101.4
Malik Monk,Cha,G,22.53,55,21.3,44.3,22.9,12.6,100,0.82,284,0.542,204,0.284,0.494,0.53,10.3,2.9,7.3,2.1,16.6,0.45,0.29,1.4,7.5,102.7,110.4
Matt Mooney,Cle,G,23.52,4,4.7,9.8,9.1,0,0,0,2,0.5,2,0,0.25,0.25,0.5,0.8,8.9,0.3,6.8,0.5,0.25,0,4.2,69.4,107.1
E'Twaun Moore,Nor,G,31.47,56,18.2,37.9,19.9,8.1,45,0.689,270,0.456,167,0.377,0.498,0.51,8.3,2.3,6.8,1.4,11,0.57,0.2,0.71,6.6,103.7,108.9
Ja Morant,Mem,G,21.01,67,31,64.5,25.9,17,308,0.776,758,0.511,179,0.335,0.509,0.556,17.8,3.9,6.5,7.3,35.2,0.88,0.27,3.28,10.3,108.4,110.7
Juwan Morgan,Uta,F,23.33,21,6.4,13.3,11,17.8,4,0.75,18,0.667,8,0.375,0.635,0.648,1.7,1.4,11.9,0.3,6.2,0.05,0.1,0.29,5.6,121,98.8
Marcus Morris Sr.,Nyk,F,30.95,43,32.3,67.2,24.4,9.2,198,0.823,372,0.444,264,0.439,0.533,0.582,19.6,5.4,9,1.4,6.8,0.77,0.4,1.7,6.6,113.4,107.5
Marcus Morris Sr.,Lac,F,30.95,19,28.9,60.2,15.8,11.6,22,0.818,90,0.533,84,0.31,0.5,0.523,10.1,4.1,7.4,1.4,6.8,0.68,0.68,1.26,5.4,100.8,102.1
Markieff Morris,Det,F,30.95,44,22.5,46.8,21.8,14.2,79,0.772,200,0.5,189,0.397,0.546,0.573,11,3.9,9.9,1.6,11,0.59,0.23,1.59,7.3,104.4,104.7
Markieff Morris,Lal,F,30.95,14,14.2,29.7,16.6,7.6,6,0.833,30,0.5,40,0.325,0.493,0.509,5.3,3.2,12.3,0.6,5.4,0.36,0.43,0.43,6.1,108.5,95.6
Monte Morris,Den,G,25.13,73,22.4,46.7,17.5,8.2,89,0.843,394,0.495,172,0.378,0.517,0.545,9,1.9,4.7,3.5,22.1,0.75,0.23,0.74,7,117.4,112.3
Johnathan Motley,Lac,F,25.28,13,3.2,6.6,23.5,21.7,7,0.714,14,0.714,1,1,0.767,0.774,2.2,0.8,12.6,0.5,28.7,0.23,0,0.38,12,,
Emmanuel Mudiay,Uta,G,24.44,54,15.7,32.8,22.6,17.3,83,0.759,239,0.506,87,0.345,0.509,0.545,7.3,2.3,8.2,2.1,20.9,0.44,0.19,1.41,8.4,103,104
Mychal Mulder,Gol,G,26.18,7,29.1,60.6,16.2,6.5,12,0.75,15,0.667,52,0.308,0.507,0.533,11,3.3,6.1,1.1,5.9,0.29,0.14,0.71,4.7,104.9,109.5
Dejounte Murray,San,G,23.9,66,25.6,53.2,20.8,15.4,114,0.798,526,0.481,111,0.369,0.494,0.524,10.9,5.8,12.3,4.1,23.1,1.68,0.26,1.89,10,104.7,104.4
Jamal Murray,Den,G,23.47,59,32.3,67.2,25.2,11.5,185,0.881,570,0.519,324,0.346,0.519,0.559,18.5,4,6.9,4.8,22.9,1.14,0.29,2.15,8.8,111.5,110.3
Dzanan Musa,Bro,G-F,21.27,40,12.2,25.4,20.1,15.4,60,0.75,94,0.479,78,0.244,0.427,0.484,4.8,2.2,9.1,1.1,12.6,0.38,0.03,0.9,7.4,95.8,106.5
Mike Muscala,Okc,F-C,29.12,47,12.2,25.3,16.6,7.9,22,0.818,46,0.5,143,0.378,0.55,0.569,4.8,2.3,10.4,0.9,10.1,0.19,0.26,0.36,7,114,101.5
Svi Mykhailiuk,Det,G-F,23.18,56,22.6,47.1,17.1,12.3,70,0.814,120,0.425,285,0.404,0.552,0.578,9,1.9,4.7,1.9,12.3,0.73,0.07,1.09,5.6,110.3,110.6
Abdel Nader,Okc,F,26.89,55,15.8,32.8,17,12.8,66,0.773,135,0.556,128,0.375,0.559,0.591,6.3,1.8,6.4,0.7,6.4,0.42,0.36,0.78,5.1,107.4,103.8
Larry Nance Jr.,Cle,F-C,27.62,56,26.3,54.8,15.2,11.5,74,0.676,272,0.636,159,0.352,0.596,0.608,10.1,7.3,15.4,2.2,12.3,0.98,0.39,1.07,8.3,121.9,109.4
Shabazz Napier,Min,G,29.09,36,23.8,49.6,19.1,19.1,88,0.818,124,0.54,159,0.296,0.486,0.539,9.6,3.1,6.8,5.2,31.3,1.14,0.19,2.11,9,108.1,108.9
Shabazz Napier,Was,G,29.09,20,24.4,50.9,21.6,20.5,65,0.831,92,0.489,81,0.358,0.512,0.573,11.6,2.4,5.4,3.8,21.6,1.45,0.2,2.6,7.8,103.7,110.9
Raul Neto,Phi,G,28.24,54,12.4,25.8,18.6,16.3,47,0.83,133,0.504,88,0.386,0.534,0.569,5.1,1.1,5,1.8,20.3,0.44,0.11,0.87,7,108.8,106.4
Malik Newman,Cle,G,23.48,1,3.7,7.7,44.8,25.8,2,1,1,0,1,0,0,0.347,2,0,0,0,0,0,0,1,0,,
Georges Niang,Uta,F,27.16,66,14,29.1,17.2,8.3,24,0.833,97,0.526,225,0.4,0.578,0.589,5.9,1.9,7.6,0.7,6.9,0.27,0.08,0.45,5.7,113,105.1
Joakim Noah,Lac,F-C,35.47,5,10,20.9,14.6,34.2,8,0.75,8,0.5,0,0,0.5,0.608,2.8,3.2,16.5,1.4,17.9,0.2,0.2,1.2,9.3,106,90.6
Nerlens Noel,Okc,C-F,26.35,61,18.5,38.5,14.9,17.3,106,0.755,266,0.688,3,0.333,0.686,0.711,7.4,4.9,14.7,0.9,7.6,0.97,1.49,1.08,6.9,127.4,93.7
Zach Norvell Jr.,Lal,G-F,22.68,2,2.5,5.1,8.6,0,0,0,1,0,0,0,0,0,0,0.5,11.2,0,0,0,0,0,0,,
Zach Norvell Jr.,Gol,G-F,22.68,3,12,25,17.1,20.8,1,1,3,0,8,0.375,0.409,0.437,3.3,1.7,7.5,1,11.7,0.67,0,1,5.9,78.3,104.2
Jaylen Nowell,Min,G,21.35,15,10.1,21,17.3,4.7,17,0.941,27,0.593,26,0.115,0.387,0.471,3.8,0.9,4.5,1.3,17.8,0.2,0,0.2,6.5,109.7,111.6
Frank Ntilikina,Nyk,G,22.05,57,20.8,43.4,15.4,16.5,59,0.864,196,0.444,137,0.321,0.459,0.497,6.3,2.1,5.4,3,20.2,0.95,0.28,1.25,6.6,102.6,104.4
Kendrick Nunn,Mia,G,25.03,67,29.3,61,24,10.6,100,0.85,523,0.505,391,0.35,0.514,0.534,15.3,2.7,5.1,3.3,18.5,0.84,0.22,1.7,7,103.3,106.4
Jusuf Nurkic,Por,C,25.98,8,31.7,65.9,24,13.2,35,0.886,99,0.525,10,0.2,0.505,0.567,17.6,10.3,17,4,19.1,1.38,2,2.38,11.3,115.5,98.3
David Nwaba,Bro,G-F,27.58,20,13.4,28,14.2,8.8,27,0.667,43,0.581,28,0.429,0.606,0.627,5.2,2.3,8.7,0.4,4.3,0.55,0.6,0.4,5,119.6,99.5
Semi Ojeleye,Bos,F,25.69,69,14.6,30.5,9.7,8.3,32,0.875,69,0.464,127,0.378,0.531,0.562,3.4,2.1,7.7,0.5,4.7,0.3,0.07,0.28,4.2,115.8,104.4
Jahlil Okafor,Nor,C-F,24.67,30,15.6,32.4,19.9,16.7,62,0.645,159,0.629,3,0.333,0.627,0.642,8.1,4.2,14.4,1.2,12,0.23,0.73,1.27,8.8,116.6,101.1
Elie Okobo,Pho,F-G,22.81,55,13.1,27.2,14.8,15.2,71,0.704,110,0.427,71,0.352,0.467,0.516,4,1.6,7,2.1,21.2,0.45,0.07,0.69,7.3,108.5,107.4
Josh Okogie,Min,G,21.95,62,25,52,15.1,15.1,191,0.796,244,0.529,154,0.266,0.479,0.553,8.6,4.3,9.1,1.6,8.9,1.1,0.42,1.39,6.2,108.5,107.1
KZ Okpala,Mia,F-G,21.3,5,5.2,10.8,11.6,14.5,2,0.5,4,0.75,1,0,0.6,0.595,1.4,1,10.7,0.2,5.5,0.4,0.2,0.2,5,110,101.3
Victor Oladipo,Ind,G,28.28,19,27.8,57.9,26.5,14.7,59,0.814,142,0.451,104,0.317,0.461,0.506,14.5,3.9,7.8,2.9,15.4,0.89,0.21,2.47,7.9,94.3,105.3
Kelly Olynyk,Mia,C,29.32,67,19.4,40.4,17.4,13.8,100,0.86,164,0.543,234,0.406,0.582,0.621,8.2,4.6,13.1,1.7,13.3,0.67,0.34,1.06,8.3,116.1,96.6
Royce O'Neale,Uta,F,27.2,71,28.9,60.1,9.6,13.5,55,0.764,121,0.545,244,0.377,0.559,0.578,6.3,5.5,10.4,2.5,11.6,0.83,0.45,0.86,6.1,116.5,101.1
Miye Oni,Uta,G-F,23.03,10,10.9,22.7,15.3,10.5,5,0.8,13,0.385,19,0.368,0.484,0.512,3.5,1.7,8.6,0.4,5.1,0.4,0.2,0.4,4.9,103.6,104.1
Kyle O'Quinn,Phi,C-F,30.39,29,10.8,22.5,15.7,17.6,20,0.55,58,0.603,27,0.259,0.535,0.544,3.5,4,20.5,1.8,22.7,0.24,0.83,0.69,10.9,116,97.7
Cedi Osman,Cle,F,25.35,65,29.4,61.2,16.6,12.3,94,0.67,288,0.497,321,0.383,0.538,0.552,11,3.6,6.7,2.4,11.6,0.83,0.25,1.4,6.2,107.7,110.3
Kelly Oubre Jr.,Pho,F-G,24.68,56,34.5,71.9,22.4,8.2,246,0.78,519,0.511,307,0.352,0.517,0.56,18.7,6.5,10.4,1.5,6.6,1.25,0.71,1.48,6.6,108.8,103.5
Tariq Owens,Pho,F,25.13,3,5.1,10.7,16.2,0,2,1,3,0.333,2,0,0.2,0.34,1.3,1,10.8,0,0,0.33,0,0,0,95.2,107.5
Jeremy Pargo,Gol,G,34.44,3,14.8,30.8,25.5,15.1,1,0,15,0.533,7,0.429,0.568,0.557,8.3,1,3.7,2.7,32.8,0.33,0,1.33,7.6,103,101.2
Jabari Parker,Atl,F,25.42,32,26.2,54.5,24,12.4,72,0.736,278,0.601,115,0.27,0.543,0.565,15,6,12.3,1.8,11.5,1.31,0.47,1.88,8.3,106.3,105.7
Jabari Parker,Sac,F,25.42,6,13.4,28,23.7,9.1,9,0.889,32,0.625,4,0.25,0.597,0.638,8.5,3.8,16.1,1.7,21.3,0.5,0.17,0.67,11.3,128.7,106.1
Chandler Parsons,Atl,F,31.8,5,10.8,22.6,16.1,14.3,0,0,4,0.25,14,0.286,0.389,0.389,2.8,1.4,7,0.6,7.4,0.8,0.2,0.6,4.9,77.1,111.9
Eric Paschall,Gol,F,23.78,60,27.6,57.4,21.4,11.3,212,0.774,512,0.549,129,0.287,0.525,0.57,14,4.6,9,2.1,12.7,0.53,0.22,1.57,7.4,110,110.8
Anzejs Pasecniks,Was,C,24.65,26,16.8,35,15.8,14.5,58,0.586,113,0.54,3,0,0.526,0.551,6,4.1,13.4,0.7,5.7,0.35,0.46,0.92,6.1,108.4,101.5
Patrick Patterson,Lac,F,31.42,59,13.2,27.4,14.7,7.7,43,0.814,61,0.459,172,0.39,0.552,0.58,4.9,2.6,10.1,0.7,7.2,0.12,0.05,0.36,6.3,118.9,104.9
Justin Patton,Okc,C,23.17,5,4.8,10.1,21.8,16.7,0,0,6,0.5,4,0.25,0.45,0.45,1.8,1,11.4,0.4,12.5,0,0,0.4,7.5,85.6,95.6
Chris Paul,Okc,G,35.28,70,31.5,65.7,23.3,13.8,279,0.907,583,0.554,304,0.365,0.552,0.61,17.6,5,8.8,6.7,34,1.59,0.16,2.3,10.6,120.4,103
Cameron Payne,Pho,G,26.02,8,22.9,47.7,19.1,13.4,7,0.857,39,0.462,29,0.517,0.596,0.612,10.9,3.9,9.4,3,19.4,1,0.25,1.38,8.8,114.7,102.1
Gary Payton II,Was,G,27.7,29,14.9,31,13.4,14.3,8,0.5,70,0.5,46,0.283,0.47,0.473,3.9,2.8,10.1,1.7,14.8,1.14,0.24,0.69,7.1,102.6,103.9
Elfrid Payton,Nyk,G,26.48,45,27.7,57.7,19.5,16.6,86,0.57,371,0.482,69,0.203,0.455,0.47,10,4.7,9,7.2,38.6,1.58,0.38,2.11,10.1,104.8,107.8
Norvel Pelle,Phi,F,27.53,24,9.7,20.1,13.4,24.9,14,0.5,47,0.532,1,0,0.521,0.526,2.4,3,17.2,0.3,4.6,0.13,1.25,0.75,5.3,93.2,86.1
Theo Pinson,Bro,G-F,24.78,33,11.1,23.1,22.3,16.9,16,0.938,75,0.4,80,0.188,0.339,0.37,3.6,1.6,7.6,1.7,21.6,0.52,0.12,1,7.7,80.4,102.2
Mason Plumlee,Den,F-C,30.45,61,17.3,36.1,18,18.5,155,0.535,283,0.625,5,0,0.615,0.613,7.2,5.2,16.7,2.5,20.9,0.52,0.61,1.33,10.5,117.4,98.1
Jakob Poeltl,San,C,24.83,66,17.7,37,13.1,14.9,86,0.465,266,0.624,0,0,0.624,0.612,5.6,5.7,17.2,1.8,13.7,0.56,1.45,0.8,8.7,125.5,103.5
Vincent Poirier,Bos,C-F,26.8,22,5.9,12.3,15.4,17,7,0.857,34,0.471,2,0.5,0.486,0.525,1.9,2,17.7,0.4,8.5,0.09,0.41,0.36,7.8,106.2,88.7
Shamorie Ponds,Tor,G,19.2,4,2.7,5.5,23.7,0,2,1,3,0.667,2,0.5,0.7,0.765,2.3,0.3,5,0.5,34.3,0,0.25,0,10.4,,
Jordan Poole,Gol,G,21.16,57,22.3,46.6,21,11.5,119,0.798,237,0.392,265,0.279,0.406,0.454,8.8,2.1,5,2.4,15.8,0.6,0.18,1.26,6.3,91.8,111.4
Kevin Porter Jr.,Cle,G-F,20.28,50,23.2,48.4,20.6,16.7,101,0.723,263,0.506,158,0.335,0.505,0.535,10,3.2,7.7,2.2,13.9,0.92,0.28,1.86,7.1,99.6,105.5
Michael Porter Jr.,Den,F,22.13,55,16.4,34.2,22.3,10.6,72,0.833,236,0.564,147,0.422,0.59,0.617,9.3,4.7,16.1,0.8,7.8,0.49,0.45,0.89,8,117,100.7
Otto Porter Jr.,Chi,F,27.2,14,23.6,49.2,21,6.8,27,0.704,78,0.487,62,0.387,0.529,0.55,11.9,3.4,8,1.8,11.9,1.07,0.43,0.79,7.1,112.6,105
Bobby Portis,Nyk,F,25.51,66,21.1,44,21.4,10.4,93,0.763,402,0.493,187,0.358,0.507,0.53,10.1,5.1,12.9,1.5,11.1,0.5,0.27,1.11,8.1,106.6,107.6
Kristaps Porzingis,Dal,F-C,25.04,57,31.8,66.3,27,8,283,0.799,529,0.484,403,0.352,0.503,0.551,20.4,9.5,15.6,1.8,8.8,0.72,2.02,1.61,8.9,110.7,101.4
Dwight Powell,Dal,F-C,29.07,40,26.5,55.2,12.7,11.8,111,0.667,190,0.716,39,0.256,0.659,0.677,9.4,5.7,11.3,1.5,7.7,0.88,0.53,0.93,6.5,132.3,104.1
Norman Powell,Tor,G,27.23,52,28.4,59.2,21.4,10.5,153,0.843,323,0.579,273,0.399,0.588,0.626,16,3.6,6.7,1.8,9.7,1.15,0.4,1.5,6.6,115.4,102.2
Taurean Prince,Bro,F,26.4,64,29,60.5,20.4,14,89,0.798,308,0.429,431,0.339,0.475,0.497,12.1,6,10.6,1.8,9.2,0.89,0.39,1.98,7,93.5,102.7
Chasson Randle,Gol,G,27.52,3,13.5,28.1,7,0,6,0.833,2,0,2,0,0,0.377,1.7,0.7,2.7,1.7,15.5,0.67,0,0,3.7,113.2,111
Julius Randle,Nyk,C-F,25.71,64,32.5,67.7,27.6,14.3,352,0.733,774,0.516,231,0.277,0.493,0.538,19.5,9.7,16,3.1,15.8,0.8,0.34,3.03,10.3,104.4,105.7
Josh Reaves,Dal,G-F,23.2,4,7.1,14.7,14.9,0,2,1,7,0.429,2,0,0.333,0.405,2,0.8,5.6,0.8,14.1,0,0,0,6.1,106.5,99.6
Cam Reddish,Atl,F-G,20.95,58,26.7,55.7,18.9,13.5,126,0.802,304,0.428,250,0.332,0.459,0.5,10.5,3.7,7.5,1.5,8,1.07,0.48,1.64,5.8,95,110.5
JJ Redick,Nor,G,36.14,60,26.4,54.9,20.4,9.5,185,0.892,234,0.453,397,0.453,0.596,0.644,15.3,2.5,5.1,2,10.8,0.33,0.18,1.25,6.4,121.9,112.1
Naz Reid,Min,C-F,20.97,30,16.5,34.4,24,7.6,53,0.698,146,0.466,97,0.33,0.477,0.505,9,4.1,13.2,1.2,11.2,0.63,0.73,0.73,8.6,104.8,97.6
Josh Richardson,Phi,G,26.92,55,30.8,64.1,20.6,12.8,141,0.809,397,0.486,249,0.341,0.496,0.533,13.7,3.2,5.7,2.9,13.9,0.95,0.65,1.89,6.5,103.8,106
Austin Rivers,Hou,G,28.04,68,23.4,48.8,15.6,8.3,111,0.703,231,0.498,270,0.356,0.517,0.542,8.8,2.6,5.7,1.7,10,0.72,0.16,0.74,5.8,110.2,107.2
Andre Roberson,Okc,G-F,28.7,7,12.4,25.9,16.1,6.3,2,0.5,15,0.333,14,0.214,0.328,0.335,2.9,3.9,17.1,0.6,6.3,0.14,0.43,0.29,6.1,84.1,94.7
Glenn Robinson III,Gol,F,26.6,48,31.6,65.8,16.6,8.7,74,0.851,336,0.524,170,0.4,0.549,0.575,12.9,4.7,8,1.8,8.8,0.94,0.29,1.06,6,112.4,112.8
Glenn Robinson III,Phi,F,26.6,14,19.3,40.2,15.2,5.2,12,0.917,58,0.603,27,0.333,0.571,0.598,7.7,3.1,9,0.8,5.9,0.71,0.14,0.36,5.5,123.1,106.4
Duncan Robinson,Mia,F,26.32,73,29.7,61.8,16,8.8,72,0.931,81,0.654,606,0.446,0.667,0.684,13.5,3.2,6,1.4,7.1,0.48,0.26,0.95,5.3,122.2,105.3
Jerome Robinson,Lac,G,23.48,42,11.3,23.6,15,15.3,19,0.579,69,0.391,67,0.284,0.408,0.423,2.9,1.4,6.5,1.1,12.7,0.31,0.19,0.62,5.8,87.1,99.9
Jerome Robinson,Was,G,23.48,21,24,49.9,17.7,10.8,38,0.763,88,0.443,86,0.349,0.483,0.516,9.4,3.3,7.5,2,11.2,0.71,0.43,1.1,6.6,102.4,107.9
Justin Robinson,Was,G,22.84,9,5.4,11.3,12.8,20,0,0,7,0.286,5,0.6,0.542,0.542,1.4,0.6,5.6,0.8,18.9,0,0.11,0.33,6.5,104.9,118.5
Mitchell Robinson,Nyk,C-F,22.37,61,23.2,48.2,13.3,8.3,148,0.568,341,0.742,0,0,0.742,0.726,9.7,7,16.2,0.6,3.9,0.85,1.95,0.61,5.9,141.7,100.3
Isaiah Roby,Okc,F,22.53,3,3.8,7.9,7.7,50,0,0,1,0,0,0,0,0,0,0.7,9.7,0,0,0,0,0.33,0,,
Rajon Rondo,Lal,G,34.48,48,20.5,42.7,18.7,20.9,41,0.659,202,0.475,125,0.328,0.482,0.496,7.1,3,7.9,5,32.8,0.81,0.04,1.9,9.2,102.6,104.6
Derrick Rose,Det,G,31.86,50,26,54.1,31.6,13.4,139,0.871,606,0.535,147,0.306,0.52,0.555,18.1,2.4,5.3,5.6,40.5,0.8,0.34,2.52,9.6,109.6,114
Terrence Ross,Orl,G-F,29.52,69,27.4,57,22.8,7,184,0.853,342,0.48,504,0.351,0.508,0.548,14.7,3.2,6.3,1.2,6.8,1.12,0.35,1.01,5.6,106.4,107.1
Terry Rozier,Cha,G,26.41,63,34.4,71.6,23.8,12.1,191,0.869,518,0.436,425,0.405,0.513,0.552,18,4.4,7,4.1,20.3,0.95,0.16,2.24,8,108.5,110.8
Ricky Rubio,Pho,G,29.82,65,31,64.6,20.4,17.9,226,0.863,476,0.439,216,0.361,0.471,0.535,13,4.7,8.4,8.8,39.7,1.45,0.17,2.66,10.5,112.4,105.2
D'Angelo Russell,Gol,G,24.47,33,32.1,66.9,32.2,12.6,144,0.785,314,0.487,321,0.374,0.524,0.558,23.6,3.7,6.2,6.2,35.9,0.91,0.27,3.06,10.2,106.7,112.3
D'Angelo Russell,Min,G,24.47,12,32.6,68,29.5,16.7,55,0.873,100,0.49,110,0.345,0.505,0.555,21.7,4.6,7.4,6.6,33.1,1.42,0.33,3.92,10.7,105.1,110.2
Domantas Sabonis,Ind,F-C,24.28,62,34.8,72.5,23.3,14.9,296,0.723,780,0.565,67,0.254,0.551,0.587,18.5,12.4,19.6,5,21.7,0.73,0.48,2.76,12,115,99.1
Luka Samanic,San,F,20.6,3,16.1,33.6,17.6,10.1,4,0.75,8,0.25,8,0.375,0.406,0.45,5.3,3.3,11.1,2,16.2,0,0.67,0.67,8.1,98.3,104.4
JaKarr Sampson,Ind,F,27.41,34,13.8,28.8,13.2,10.6,27,0.667,102,0.647,13,0.154,0.6,0.615,4.6,2.6,10.2,0.6,6.1,0.47,0.35,0.44,5.6,117.6,96.9
Dario Saric,Pho,F,26.35,66,24.7,51.5,17.8,12.9,128,0.844,303,0.568,235,0.357,0.554,0.592,10.7,6.2,13.8,1.9,10.8,0.56,0.24,1.33,8.1,113.9,103.9
Tomas Satoransky,Chi,G,28.79,65,28.9,60.2,16.7,17.7,121,0.876,352,0.491,199,0.322,0.488,0.533,9.9,3.9,7.5,5.4,27.1,1.23,0.11,2,8.2,110.7,108
Admiral Schofield,Was,G-F,23.38,33,11.2,23.3,11.8,6.7,15,0.667,31,0.516,60,0.317,0.489,0.507,3,1.4,7,0.5,5.3,0.24,0.12,0.21,4.6,104.5,106.4
